New_geog_code,geog_l,geog_c,geog_n,CLA_started2013,CLA_taken2013,SCLA_male,SCLA_female,SCLA_U1,SCLA_1to4,SCLA_5to9,SCLA_10to15,SCLA_16over,SCLA_AbNeg,SCLA_Cdisab,SCLA_ParIll,SCLA_FAcSt,SCLA_FD,SCLA_SUB,SCLA_LI,SCLA_AbsPar,SCLA_ICO,SCLA_FCO,SCLA_POG,SCLA_S20,SCLA_UPP,SCLA_SEPO,SCLA_UCAO,SCLA_ONCT,SCLA_PACE,SCLA_SORR,,,,,,,,,
E10000012,LA,881,Essex,372,134,217,155,74,63,50,125,60,248,19,x,43,28,9,0,20,93,x,0,232,39,x,0,6,0,0,,,,,,,,,
E06000033,LA,882,Southend-on-Sea,82,36,46,36,27,19,6,25,x,65,x,0,0,x,7,0,6,20,x,0,42,10,x,0,x,0,0,,,,,,,,,
E06000034,LA,883,Thurrock,127,59,67,60,19,22,24,47,15,83,x,x,15,9,x,0,12,48,0,0,68,8,x,0,0,0,0,,,,,,,,,
E06000019,LA,884,Herefordshire,107,38,53,54,26,30,20,25,6,75,x,7,6,11,x,0,x,22,0,0,66,14,x,0,x,0,0,,,,,,,,,
E10000034,LA,885,Worcestershire,286,95,171,115,40,45,43,90,68,153,x,10,25,84,x,0,8,52,x,0,187,35,x,0,x,0,0,,,,,,,,,
E10000016,LA,886,Kent,867,266,505,362,148,145,133,255,186,316,23,31,83,246,24,0,144,139,11,0,588,91,25,0,13,0,0,,,,,,,,,
E06000035,LA,887,Medway,173,33,101,72,49,24,38,35,27,96,x,x,x,64,7,0,x,23,0,0,136,8,x,0,x,0,0,,,,,,,,,
E10000017,LA,888,Lancashire,612,294,319,293,159,140,101,159,53,460,8,6,47,59,8,0,24,187,8,0,300,93,6,0,15,x,0,,,,,,,,,
E06000008,LA,889,Blackburn with Darwen,124,78,69,55,33,38,25,25,x,74,x,0,16,29,x,0,x,67,0,0,43,9,x,0,x,0,0,,,,,,,,,
E06000009,LA,890,Blackpool,204,93,116,88,59,56,35,38,16,147,x,11,25,12,6,0,x,51,0,0,103,42,0,0,x,x,0,,,,,,,,,
E10000024,LA,891,Nottinghamshire,367,89,188,179,93,73,51,95,55,174,15,9,55,90,8,x,15,65,7,0,274,8,9,0,x,0,0,,,,,,,,,
E06000018,LA,892,Nottingham,255,97,133,122,60,51,43,76,25,180,x,x,36,13,10,0,10,81,x,0,137,15,0,0,21,0,0,,,,,,,,,
E06000051,LA,893,Shropshire,118,48,66,52,16,22,22,41,17,60,7,x,x,41,x,0,x,29,x,0,68,14,x,0,x,0,0,,,,,,,,,
E06000020,LA,894,Telford and Wrekin,114,36,67,47,31,22,19,36,6,89,x,x,x,8,6,0,0,12,0,x,74,24,0,0,x,0,0,,,,,,,,,
E06000049,LA,895,Cheshire East,118,61,55,63,22,28,24,31,13,71,x,0,20,20,x,0,x,37,0,0,55,21,x,0,x,0,0,,,,,,,,,
E06000050,LA,896,Cheshire West and Chester,137,45,74,63,23,29,33,47,x,100,x,x,12,13,x,x,0,45,0,0,91,0,0,0,x,0,0,,,,,,,,,
E06000052,LA,908,Cornwall,266,93,138,128,52,47,50,98,19,144,20,36,17,42,x,0,x,57,x,0,171,29,x,0,x,0,0,,,,,,,,,
E10000006,LA,909,Cumbria,256,174,136,120,64,65,49,61,17,153,7,0,20,71,x,0,x,130,x,x,76,10,32,0,x,0,0,,,,,,,,,
