time_period,time_identifier,geographic_level,country_name,country_code,region_name,region_code,la_name,old_la_code,new_la_code,category_of_expenditure,description_of_expenditure,own_provision,private_provision,other_public_sector_provision,voluntary_provision,total_expenditure,income,net_current_expenditure,grants_inside_AEF,grants_outside_AEF,net_revenue_expenditure,per_capita_net_current_spend
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Barnsley,370,E08000016,Services for young people,"8a.1 Substance misuse services (Drugs, Alcohol and Volatile substances) (included in 3.5.1 and 3.5.2 above)",x,x,x,x,386000,x,x,x,x,x,0
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Barnsley,370,E08000016,Services for young people,8a.2 Teenage pregnancy services (included in 3.5.1 and 3.5.2 above),x,x,x,x,0,x,x,x,x,x,0
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Barnsley,370,E08000016,Youth justice,3.6.1 Youth justice,x,x,x,x,925790,693244,232546,x,x,x,5
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Barnsley,370,E08000016,Capital expenditure,4.0.1 Capital Expenditure from Revenue (CERA) (Childrens and young people services),x,x,x,x,0,0,0,x,x,x,0
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Barnsley,370,E08000016,Total,5.0.2 Total Children and Young Peoples Services Expenditure (excluding CERA),x,x,x,x,39440058,x,36081518,x,x,x,714
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Barnsley,370,E08000016,Total,5.0.3 Total Children and Young Peoples Services Expenditure (including CERA),x,x,x,x,39440058,x,36081518,x,x,x,714
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Doncaster,371,E08000017,Sure Start and children aged under 5,3.0.1 Spend on individual Sure Start Childrens Centres,450867,0,0,0,450867,0,450867,0,0,450867,7
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Doncaster,371,E08000017,Sure Start and children aged under 5,3.0.2 Spend for services delivered through Sure Start Childrens Centres,0,0,0,0,0,0,0,0,0,0,0
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Doncaster,371,E08000017,Sure Start and children aged under 5,3.0.3 Spend on management costs relating to Sure Start Childrens Centres,0,0,0,0,0,0,0,0,0,0,0
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Doncaster,371,E08000017,Sure Start and children aged under 5,3.0.4 Other spend on children under 5,1023022,0,0,0,1023022,93367,929655,0,0,929655,14
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Doncaster,371,E08000017,Sure Start and children aged under 5,3.0.5 Total Sure Start childrens centres and other spend on children under 5,1473889,0,0,0,1473889,93367,1380522,0,0,1380522,21
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Doncaster,371,E08000017,Children looked after,3.1.1 Residential care,6644974,5638148,0,0,12283122,896269,11386853,0,0,11386853,173
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Doncaster,371,E08000017,Children looked after,3.1.2a Fostering services (excluding fees and allowances for LA foster carers),1036449,8381466,0,0,9417915,1450,9416465,0,0,9416465,143
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Doncaster,371,E08000017,Children looked after,3.1.2b Fostering services (fees and allowances for LA foster carers),2918581,0,0,0,2918581,32862,2885719,0,0,2885719,44
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Doncaster,371,E08000017,Children looked after,3.1.2 Total fostering services,3955030,8381466,0,0,12336496,34312,12302184,0,0,12302184,186
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Doncaster,371,E08000017,Children looked after,3.1.3 Adoption services,1839672,0,420309,0,2259981,265000,1994981,0,0,1994981,30
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Doncaster,371,E08000017,Children looked after,3.1.4 Special guardianship support,2396646,0,0,0,2396646,4587,2392059,0,0,2392059,36
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Doncaster,371,E08000017,Children looked after,3.1.5 Other children looked after services,202540,0,0,0,202540,2587,199953,0,0,199953,3
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Doncaster,371,E08000017,Children looked after,3.1.6 Short breaks (respite) for looked after disabled children,0,0,0,0,0,0,0,0,0,0,0
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Doncaster,371,E08000017,Children looked after,3.1.7 Children placed with family and friends,0,0,0,0,0,0,0,0,0,0,0
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Doncaster,371,E08000017,Children looked after,3.1.8 Education of looked after children,930417,495310,0,0,1425727,977201,448526,0,0,448526,7
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Doncaster,371,E08000017,Children looked after,3.1.9 Leaving care support services,1555448,623398,0,0,2178846,201016,1977830,0,0,1977830,30
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Doncaster,371,E08000017,Children looked after,3.1.10 Asylum seeker services children,0,0,0,0,0,328753,-328753,0,0,-328753,0
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Doncaster,371,E08000017,Children looked after,3.1.11 Total Children Looked After,17524727,15138322,420309,0,33083358,2709725,30373633,0,0,30373633,460
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Doncaster,371,E08000017,Other children and family services,3.2.1 Other children and families services,1146344,854771,0,0,2001115,66474,1934641,0,0,1934641,29
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Doncaster,371,E08000017,Safeguarding children and young peoples services,3.3.1 Social work (including LA functions in relation to child protection),12875570,0,0,0,12875570,686466,12189104,0,0,12189104,185
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Doncaster,371,E08000017,Safeguarding children and young peoples services,3.3.2 Commissioning and Childrens Services Strategy,1683732,0,0,0,1683732,868671,815061,0,0,815061,12
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Doncaster,371,E08000017,Safeguarding children and young peoples services,3.3.3 Local Safeguarding Children Board,239125,0,0,0,239125,125441,113684,0,0,113684,2
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Doncaster,371,E08000017,Safeguarding children and young peoples services,3.3.4 Total Safeguarding Children and Young Peoples Services,14798427,0,0,0,14798427,1680578,13117849,0,0,13117849,199
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Doncaster,371,E08000017,Family support services,3.4.1 Direct payments,726370,0,0,0,726370,371412,354958,0,0,354958,5
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Doncaster,371,E08000017,Family support services,3.4.2 Short breaks (respite) for disabled children,1693420,0,0,0,1693420,416633,1276787,0,0,1276787,19
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Doncaster,371,E08000017,Family support services,3.4.3 Other support for disabled children,552526,0,0,0,552526,0,552526,0,0,552526,8
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Doncaster,371,E08000017,Family support services,3.4.4 Targeted family support,4657514,0,0,0,4657514,547282,4110232,0,0,4110232,62
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Doncaster,371,E08000017,Family support services,3.4.5 Universal family support,513233,0,0,0,513233,96196,417037,0,0,417037,6
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Doncaster,371,E08000017,Family support services,3.4.6 Total Family Support Services,8143063,0,0,0,8143063,1431523,6711540,0,0,6711540,102
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Doncaster,371,E08000017,Services for young people,3.5.1 Universal services for young people,1370026,0,0,0,1370026,624027,745999,0,0,745999,11
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Doncaster,371,E08000017,Services for young people,3.5.2 Targeted services for young people,576565,0,0,0,576565,82573,493992,0,0,493992,7
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Doncaster,371,E08000017,Services for young people,3.5.3 Total Services for young people,1946591,0,0,0,1946591,706600,1239991,0,0,1239991,19
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Doncaster,371,E08000017,Services for young people,"8a.1 Substance misuse services (Drugs, Alcohol and Volatile substances) (included in 3.5.1 and 3.5.2 above)",x,x,x,x,0,x,x,x,x,x,0
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Doncaster,371,E08000017,Services for young people,8a.2 Teenage pregnancy services (included in 3.5.1 and 3.5.2 above),x,x,x,x,0,x,x,x,x,x,0
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Doncaster,371,E08000017,Youth justice,3.6.1 Youth justice,x,x,x,x,1699113,1197197,501916,x,x,x,8
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Doncaster,371,E08000017,Capital expenditure,4.0.1 Capital Expenditure from Revenue (CERA) (Childrens and young people services),x,x,x,x,0,0,0,x,x,x,0
